dataset,horizon,model,type,RMSE,MAE,R2,MAPE,time_seconds,status
ZWave_Node_031_SERVER_SB_Sensor_power,H5,SARIMAX,ML,64.8985,56.1861,-3.0402,99.2764,4.42,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H5,PatchTST,ML,33.8063,25.0182,-0.0963,31.4857,33.03,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H5,TFT,ML,33.1308,23.9806,-0.0529,29.1627,25.14,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H12,Naive,ML,49.4057,37.4011,-1.3415,49.1098,0.08,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H12,Ridge,ML,3.393,1.8726,0.989,2.9443,0.09,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H12,ElasticNet,ML,3.3711,1.8867,0.9891,2.9222,2.23,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H12,RandomForest,ML,32.9812,22.0994,-0.0435,26.7108,44.14,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H12,ExtraTrees,ML,35.5835,25.3098,-0.2146,30.2265,16.27,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H12,KNN,ML,27.3906,20.4064,0.2803,27.3207,73.2,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H12,CatBoost,ML,44.0466,32.3132,-0.8611,39.7932,7.78,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H12,LightGBM,ML,45.8828,31.5552,-1.0195,38.7676,3.32,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H12,XGBoost,ML,43.9652,32.5584,-0.8542,41.1725,6.8,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H12,NGBoost,ML,34.5715,25.2002,-0.1465,31.0925,634.51,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H12,Prophet,ML,48.4109,36.0524,-1.2482,45.4626,76.72,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H12,SARIMAX,ML,64.9006,56.1885,-3.0406,99.2752,4.35,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H12,PatchTST,ML,38.7768,28.6413,-0.4424,35.6913,24.66,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H12,TFT,ML,38.2683,28.1195,-0.4048,34.773,24.35,SUCCESS
ZWave2_Metered_Wall_Plug_Switch_computers_Sensor_power,H1,LSTM,DL,3.784927093529349,2.1582040786743164,0.764910101890564,0.0,1.3233333333333337,SUCCESS
ZWave2_Metered_Wall_Plug_Switch_computers_Sensor_power,H5,LSTM,DL,5.104904225316886,2.7542755603790283,0.5723732113838196,0.0,1.3233333333333337,SUCCESS
ZWave2_Metered_Wall_Plug_Switch_computers_Sensor_power,H12,LSTM,DL,6.171744584262938,3.4303104877471924,0.374988317489624,0.0,1.3233333333333337,SUCCESS
ZWave2_Metered_Wall_Plug_Switch_computers_Sensor_power,H1,GRU,DL,3.669524394096547,2.0723817348480225,0.7790273427963257,0.0,0.7400000000000001,SUCCESS
ZWave2_Metered_Wall_Plug_Switch_computers_Sensor_power,H5,GRU,DL,5.055292343907823,2.7389719486236572,0.5806446075439453,0.0,0.7400000000000001,SUCCESS
ZWave2_Metered_Wall_Plug_Switch_computers_Sensor_power,H12,GRU,DL,6.172397253418149,3.4488861560821533,0.3748561143875122,0.0,0.7400000000000001,SUCCESS
ZWave2_Metered_Wall_Plug_Switch_computers_Sensor_power,H1,BiLSTM,DL,3.661490312258479,2.072052478790283,0.7799938917160034,0.0,1.54,SUCCESS
ZWave2_Metered_Wall_Plug_Switch_computers_Sensor_power,H5,BiLSTM,DL,5.0202313242955725,2.687258005142212,0.5864412784576416,0.0,1.54,SUCCESS
ZWave2_Metered_Wall_Plug_Switch_computers_Sensor_power,H12,BiLSTM,DL,6.122679913246189,3.3469784259796143,0.3848863244056701,0.0,1.54,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H1,LSTM,DL,4.47719794485099,3.040891170501709,0.6905087828636169,0.0,0.8866666666666667,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H5,LSTM,DL,5.355534815363386,3.3471486568450928,0.5571668148040771,0.0,0.8866666666666667,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H12,LSTM,DL,6.587985298478492,3.810799837112427,0.3299038410186767,0.0,0.8866666666666667,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H1,GRU,DL,4.379049987883984,2.8488869667053223,0.7039291858673096,0.0,0.71,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H5,GRU,DL,5.327669454213023,3.139643907546997,0.5617630481719971,0.0,0.71,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H12,GRU,DL,6.622721730167618,3.5720326900482178,0.3228187561035156,0.0,0.71,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H1,BiLSTM,DL,4.6788973387975545,3.4039859771728516,0.6619952917098999,0.0,1.4633333333333332,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H5,BiLSTM,DL,5.6416859989407895,3.712023258209229,0.5085806846618652,0.0,1.4633333333333332,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H12,BiLSTM,DL,6.889761319171822,4.054073810577393,0.2671075463294983,0.0,1.4633333333333332,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H1,LSTM,DL,23.51906769857505,11.27389144897461,0.5238353610038757,0.0,0.6966666666666667,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H5,LSTM,DL,26.589307474484105,12.013773918151855,0.3914898633956909,0.0,0.6966666666666667,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H12,LSTM,DL,30.11988476897104,13.517011642456056,0.2194475531578064,0.0,0.6966666666666667,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H1,GRU,DL,26.442061515462445,18.102388381958008,0.3981232047080993,0.0,0.6033333333333334,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H5,GRU,DL,28.69196758513173,17.92377281188965,0.2914436459541321,0.0,0.6033333333333334,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H12,GRU,DL,31.172635681508087,17.80369758605957,0.1639302372932434,0.0,0.6033333333333334,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H1,BiLSTM,DL,21.58399842561867,10.088418960571287,0.5989663600921631,0.0,1.356666666666667,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H5,BiLSTM,DL,26.590463222272003,12.249755859375,0.3914369940757751,0.0,1.356666666666667,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H12,BiLSTM,DL,32.27374670785064,16.01707649230957,0.1038219928741455,0.0,1.356666666666667,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H1,LSTM,DL,17.29965361320043,11.6829252243042,0.4300268292427063,0.0,0.88,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H5,LSTM,DL,17.950956713329465,11.806562423706056,0.3863479495048523,0.0,0.88,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H12,LSTM,DL,18.62773368282366,11.924574851989746,0.339308500289917,0.0,0.88,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H1,GRU,DL,13.391441436057269,8.456757545471191,0.6584657430648804,0.0,0.6033333333333334,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H5,GRU,DL,14.415308423455926,8.698894500732422,0.604273796081543,0.0,0.6033333333333334,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H12,GRU,DL,16.094358680843925,9.512879371643066,0.5067965984344482,0.0,0.6033333333333334,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H1,BiLSTM,DL,15.160933252762726,9.884968757629396,0.5622446537017822,0.0,1.596666666666667,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H5,BiLSTM,DL,17.128793560775268,10.953999519348145,0.4412719011306762,0.0,1.596666666666667,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H12,BiLSTM,DL,18.97042874444452,11.858206748962402,0.3147753477096557,0.0,1.596666666666667,SUCCESS
Wall_Plug_2_Sensor_power,H1,LSTM,DL,1.2002459174740088,0.1779431253671646,0.7736226320266724,0.0,8.286666666666667,SUCCESS
Wall_Plug_2_Sensor_power,H5,LSTM,DL,1.343467505280325,0.1997612714767456,0.7163735032081604,0.0,8.286666666666667,SUCCESS
Wall_Plug_2_Sensor_power,H12,LSTM,DL,1.5206159235961316,0.2467283755540847,0.636644721031189,0.0,8.286666666666667,SUCCESS
Wall_Plug_2_Sensor_power,H1,GRU,DL,1.1474707030834446,0.2253958880901336,0.7930927276611328,0.0,8.653333333333334,SUCCESS
Wall_Plug_2_Sensor_power,H5,GRU,DL,1.3147808873635287,0.2434149533510208,0.7283565998077393,0.0,8.653333333333334,SUCCESS
Wall_Plug_2_Sensor_power,H12,GRU,DL,1.5094095577604083,0.2827961444854736,0.6419805288314819,0.0,8.653333333333334,SUCCESS
Wall_Plug_2_Sensor_power,H1,BiLSTM,DL,1.1274611255347031,0.174037292599678,0.8002458810806274,0.0,9.813333333333334,SUCCESS
Wall_Plug_2_Sensor_power,H5,BiLSTM,DL,1.2996186797551637,0.1891134530305862,0.7345856428146362,0.0,9.813333333333334,SUCCESS
Wall_Plug_2_Sensor_power,H12,BiLSTM,DL,1.5071375625946086,0.2127653956413269,0.6430575847625732,0.0,9.813333333333334,SUCCESS
WavePlug_UPS_Sensor_power,H1,LSTM,DL,14.420621707968625,6.558278560638428,0.8700578212738037,0.0,15.296666666666669,SUCCESS
WavePlug_UPS_Sensor_power,H5,LSTM,DL,15.840516612558265,7.020021915435791,0.8432087302207947,0.0,15.296666666666669,SUCCESS
WavePlug_UPS_Sensor_power,H12,LSTM,DL,17.887434895714854,7.8087873458862305,0.8000685572624207,0.0,15.296666666666669,SUCCESS
WavePlug_UPS_Sensor_power,H1,GRU,DL,12.4612803636216,6.029565811157227,0.9029696583747864,0.0,11.106666666666667,SUCCESS
WavePlug_UPS_Sensor_power,H5,GRU,DL,14.123593420701448,6.372167587280273,0.8753553628921509,0.0,11.106666666666667,SUCCESS
WavePlug_UPS_Sensor_power,H12,GRU,DL,16.504547417279237,7.0632805824279785,0.8297871947288513,0.0,11.106666666666667,SUCCESS
WavePlug_UPS_Sensor_power,H1,BiLSTM,DL,15.391266444437631,6.324082851409912,0.8519763946533203,0.0,26.790000000000003,SUCCESS
WavePlug_UPS_Sensor_power,H5,BiLSTM,DL,16.809274129995732,6.930031776428223,0.8234445452690125,0.0,26.790000000000003,SUCCESS
WavePlug_UPS_Sensor_power,H12,BiLSTM,DL,19.006657287388396,8.009897232055664,0.774266242980957,0.0,26.790000000000003,SUCCESS
ZWave5_network_switch_Sensor_power,H1,LSTM,DL,0.0353270082530289,0.0115347849205136,0.8847730755805969,0.0,9.04,SUCCESS
ZWave5_network_switch_Sensor_power,H5,LSTM,DL,0.0496188487934193,0.0160984173417091,0.7726820707321167,0.0,9.04,SUCCESS
ZWave5_network_switch_Sensor_power,H12,LSTM,DL,0.0658215807048294,0.024055166170001,0.5999844074249268,0.0,9.04,SUCCESS
ZWave5_network_switch_Sensor_power,H1,GRU,DL,0.0364381224663338,0.0133608700707554,0.8774107694625854,0.0,11.853333333333332,SUCCESS
ZWave5_network_switch_Sensor_power,H5,GRU,DL,0.0513028899160063,0.0190135780721902,0.7569900751113892,0.0,11.853333333333332,SUCCESS
ZWave5_network_switch_Sensor_power,H12,GRU,DL,0.066699132458476,0.0267567317932844,0.5892470479011536,0.0,11.853333333333332,SUCCESS
ZWave5_network_switch_Sensor_power,H1,BiLSTM,DL,0.0353525809014881,0.0105993030592799,0.8846061825752258,0.0,21.0,SUCCESS
ZWave5_network_switch_Sensor_power,H5,BiLSTM,DL,0.0521633660811447,0.0168088246136903,0.748769998550415,0.0,21.0,SUCCESS
ZWave5_network_switch_Sensor_power,H12,BiLSTM,DL,0.0689114450963767,0.0255859084427356,0.561547040939331,0.0,21.0,SUCCESS
ZWave7_bookcase_Sensor_power,H1,LSTM,DL,0.0009940429138367,2.4224407752626576e-05,0.0308656096458435,0.0,4.71,SUCCESS
ZWave7_bookcase_Sensor_power,H5,LSTM,DL,0.0010260961739895,2.278659121657256e-05,-0.032642126083374,0.0,4.71,SUCCESS
ZWave7_bookcase_Sensor_power,H12,LSTM,DL,0.0010136179076622,2.6139256078749895e-05,-0.0076791048049926,0.0,4.71,SUCCESS
ZWave7_bookcase_Sensor_power,H1,GRU,DL,0.0010141722724394,8.983015140984207e-05,-0.0087816715240478,0.0,3.24,SUCCESS
ZWave7_bookcase_Sensor_power,H5,GRU,DL,0.001035002924674,6.789750477764755e-05,-0.0506471395492553,0.0,3.24,SUCCESS
ZWave7_bookcase_Sensor_power,H12,GRU,DL,0.0010384606881427,3.5831184504786506e-05,-0.0576789379119873,0.0,3.24,SUCCESS
ZWave7_bookcase_Sensor_power,H1,BiLSTM,DL,0.0010168446465373,2.5109418857027777e-05,-0.0141050815582275,0.0,7.29,SUCCESS
ZWave7_bookcase_Sensor_power,H5,BiLSTM,DL,0.0010527513220903,2.631417919474188e-05,-0.0869895219802856,0.0,7.29,SUCCESS
ZWave7_bookcase_Sensor_power,H12,BiLSTM,DL,0.0010419354548537,3.0344626793521456e-05,-0.06476891040802,0.0,7.29,SUCCESS
ZWave8_on_desk_Sensor_power,H1,LSTM,DL,0.014040766853919,0.0119752483442425,0.9949456453323364,0.0,5.3566666666666665,SUCCESS
ZWave8_on_desk_Sensor_power,H5,LSTM,DL,0.0143893202413198,0.0119715305045247,0.9946914911270142,0.0,5.3566666666666665,SUCCESS
ZWave8_on_desk_Sensor_power,H12,LSTM,DL,0.0152204809921267,0.0119933234527707,0.9940602779388428,0.0,5.3566666666666665,SUCCESS
ZWave8_on_desk_Sensor_power,H1,GRU,DL,0.0588564902700721,0.0559047535061836,0.9111878275871276,0.0,3.24,SUCCESS
ZWave8_on_desk_Sensor_power,H5,GRU,DL,0.0586313266267256,0.0555567629635334,0.9118642807006836,0.0,3.24,SUCCESS
ZWave8_on_desk_Sensor_power,H12,GRU,DL,0.0585162484692207,0.0552756562829017,0.912206768989563,0.0,3.24,SUCCESS
ZWave8_on_desk_Sensor_power,H1,BiLSTM,DL,0.0260723002135135,0.0235780980437994,0.9825721979141236,0.0,7.283333333333334,SUCCESS
ZWave8_on_desk_Sensor_power,H5,BiLSTM,DL,0.0260470210968318,0.0233214776962995,0.9826056361198424,0.0,7.283333333333334,SUCCESS
ZWave8_on_desk_Sensor_power,H12,BiLSTM,DL,0.0263363605008121,0.0232540220022201,0.9822164177894592,0.0,7.283333333333334,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H1,LSTM,DL,49.86411222011277,37.47605895996094,-1.3850703239440918,0.0,4.266666666666667,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H5,LSTM,DL,49.98090699910442,37.55866622924805,-1.3962974548339844,0.0,4.266666666666667,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H12,LSTM,DL,50.15981782481621,37.685890197753906,-1.4135546684265137,0.0,4.266666666666667,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H1,GRU,DL,45.66840561574681,34.012535095214844,-1.0005836486816406,0.0,10.726666666666668,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H5,GRU,DL,46.25209296362301,34.48805618286133,-1.0520844459533691,0.0,10.726666666666668,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H12,GRU,DL,47.12692459183365,35.19284439086914,-1.130509376525879,0.0,10.726666666666668,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H1,BiLSTM,DL,46.81415843190498,34.48625564575195,-1.1022262573242188,0.0,13.659999999999998,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H5,BiLSTM,DL,47.31929287844045,34.969024658203125,-1.1478745937347412,0.0,13.659999999999998,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H12,BiLSTM,DL,48.08374093784847,35.66817855834961,-1.2178988456726074,0.0,13.659999999999998,SUCCESS
Wall_Plug_2_Sensor_power,H1,Chronos,ML,1.0579568930120078,0.0375830304037723,0.8237472315161276,0.991346287639494,1559.3164088726044,SUCCESS
Wall_Plug_2_Sensor_power,H5,Chronos,ML,1.380290689323212,0.0581792856818402,0.7118685470855322,1.587051284837176,2504.7731761932373,SUCCESS
Wall_Plug_2_Sensor_power,H12,Chronos,ML,1.6070698990322176,0.0762664472609042,0.5996910254087603,3.241832586042106,7145.734060049057,SUCCESS
WavePlug_UPS_Sensor_power,H1,Chronos,ML,6.777217445956934,1.8150322590202053,0.9712835616120687,3.1201090819112527,1578.752466917038,SUCCESS
WavePlug_UPS_Sensor_power,H5,Chronos,ML,9.06900412592446,2.169695415413324,0.9488633966764032,3.81336931572792,2539.773166179657,SUCCESS
WavePlug_UPS_Sensor_power,H12,Chronos,ML,12.333063752511126,3.0171800530469772,0.9048465848067352,5.805992951769245,7304.913821935654,SUCCESS
ZWave2_Metered_Wall_Plug_Switch_computers_Sensor_power,H1,Chronos,ML,4.064512401016493,2.2552108650319287,0.7236942923163445,4.115802089440593,205.27665305137631,SUCCESS
ZWave2_Metered_Wall_Plug_Switch_computers_Sensor_power,H5,Chronos,ML,5.778132314311216,2.4991595092026535,0.4699278772337221,4.355470868012819,334.6667990684509,SUCCESS
ZWave2_Metered_Wall_Plug_Switch_computers_Sensor_power,H12,Chronos,ML,6.762657963063986,3.1509638200258965,0.2405578804242855,5.495950807583129,956.4734740257264,SUCCESS
ZWave5_network_switch_Sensor_power,H1,Chronos,ML,0.0463779912873805,0.0118768193870318,0.7987950683802606,0.3525334976718015,1287.4925298690796,SUCCESS
ZWave5_network_switch_Sensor_power,H5,Chronos,ML,0.0552971105478518,0.015273828757205,0.7194261545969365,0.4494068241301764,2064.877810239792,SUCCESS
ZWave5_network_switch_Sensor_power,H12,Chronos,ML,0.0803260341479688,0.024687298728383,0.4016569678615838,0.7210706843625894,5871.969104766846,SUCCESS
ZWave7_bookcase_Sensor_power,H1,Chronos,ML,0.1879198601949921,0.0024417673030754,-15009.751478107306,93.16405256589256,1262.3859741687777,SUCCESS
ZWave7_bookcase_Sensor_power,H5,Chronos,ML,0.0008856496176619,7.857375076117942e-06,-7.844386550370785e-05,99.99999999727152,2033.447921037674,SUCCESS
ZWave7_bookcase_Sensor_power,H12,Chronos,ML,0.0009041170544416,9.466696523761728e-06,-0.0421385150166171,99.99998603016138,5889.934711933136,SUCCESS
ZWave8_on_desk_Sensor_power,H1,Chronos,ML,0.1116717458472579,0.0031592416570685,0.6802805144574464,0.4059443609626482,1258.6659779548645,SUCCESS
ZWave8_on_desk_Sensor_power,H5,Chronos,ML,0.0054770599033356,0.002197722266053,0.999230909449155,0.2986948333324871,2035.8679900169373,SUCCESS
ZWave8_on_desk_Sensor_power,H12,Chronos,ML,0.0074424764467086,0.0022605733939536,0.9985798631531412,0.3084513558231934,5872.51856303215,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H1,Chronos,ML,3.3154185261913445,0.1837130310469142,0.8270117004923704,1.5147365935895831,249.58884191513064,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H5,Chronos,ML,5.062307092084698,0.3837914560900293,0.6026113028660206,4.669272042284201,404.37056016922,SUCCESS
ZWave_Node_016_the_whole_multiplier_over_the_window_Sensor_power,H12,Chronos,ML,6.582719929208052,0.5605312510193899,0.367363014633727,8.130738275262717,1162.5412638187408,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H1,Chronos,ML,1.7687755199103483,0.689819082443939,0.9969983568517444,1.2594677417254485,1445.887835741043,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H5,Chronos,ML,2.6552572554386904,1.2031519079332855,0.993233820554811,1.9605737874159856,2337.9439437389374,SUCCESS
ZWave_Node_031_SERVER_SB_Sensor_power,H12,Chronos,ML,3.509294392955567,1.8028640431884293,0.988199550541612,2.872762855758939,6727.781513929367,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H1,Chronos,ML,22.057724538418956,8.211285094444015,0.6091345178633989,1.1375735111524974,231.6054081916809,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H5,Chronos,ML,23.09121230409545,7.235677299331559,0.5204196991525641,0.9880906386792744,374.0310709476471,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H12,Chronos,ML,29.787619825926647,8.704978762165867,0.2112121075775992,1.1714383255726797,1082.8032302856443,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H1,Chronos,ML,10.256882007051596,4.471112342153054,0.807651557237252,1.6161808504243012,231.7885332107544,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H5,Chronos,ML,11.678715712066294,4.158598288592061,0.7450060477928848,1.4523988569955202,373.8613040447235,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H12,Chronos,ML,13.471787046361412,4.636692148952203,0.6455325834162517,1.6165031625773152,1109.902598142624,SUCCESS
