dataset,horizon,model,type,RMSE,MAE,R2,MAPE,time_seconds,status
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H1,SARIMAX,ML,625.5286,606.1719,-335.8305,88.2231,0.98,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H1,PatchTST,ML,22.8025,11.3629,0.5524,1.612,17.48,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H1,TFT,ML,21.5942,10.5124,0.5986,1.4856,18.41,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H5,Naive,ML,37.6475,20.9478,-0.2199,2.9258,0.01,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H5,Ridge,ML,21.0837,7.9834,0.6174,1.1139,0.01,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H5,ElasticNet,ML,20.62,7.5141,0.634,1.0442,0.21,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H5,RandomForest,ML,35.9603,21.4491,-0.113,3.0807,12.27,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H5,ExtraTrees,ML,24.5822,9.9197,0.4799,1.395,1.25,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H5,KNN,ML,45.7502,30.1289,-0.8015,4.3083,1.9,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H5,CatBoost,ML,31.9957,17.9871,0.1189,2.5772,1.65,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H5,LightGBM,ML,29.3491,15.6872,0.2586,2.231,1.83,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H5,XGBoost,ML,38.3393,20.6414,-0.2652,2.9709,2.25,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H5,NGBoost,ML,25.4503,11.4701,0.4425,1.6432,141.12,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H5,Prophet,ML,42.0933,26.9231,-0.525,3.7887,9.12,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H5,SARIMAX,ML,625.3728,605.915,-335.6136,88.1834,1.02,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H5,PatchTST,ML,24.7513,11.4082,0.4727,1.5969,17.42,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H5,TFT,ML,31.8947,18.2679,0.1244,2.5831,15.69,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H12,Naive,ML,41.7335,25.8575,-0.4985,3.6249,0.02,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H12,Ridge,ML,27.5841,10.6824,0.3453,1.4794,0.02,SUCCESS
