model,dataset,horizon,fold,RMSE,MAE,MAPE,R2,time_seconds,parameter_count,type,status
Chronos-2,Wall_Plug_2_Sensor_power,H12,1,0.5639,0.0543,5.2948,-0.0009,219.73,120000000,Foundation,SUCCESS
Chronos-2,Wall_Plug_2_Sensor_power,H12,2,2.9229,0.233,5.7918,-0.0039,243.39,120000000,Foundation,SUCCESS
Chronos-2,WavePlug_UPS_Sensor_power,H1,0,33.3949,21.561,45.8727,-0.1825,231.69,120000000,Foundation,SUCCESS
Chronos-2,WavePlug_UPS_Sensor_power,H1,1,56.7154,35.1292,51.3227,-0.4256,216.66,120000000,Foundation,SUCCESS
Chronos-2,WavePlug_UPS_Sensor_power,H1,2,35.7511,19.6928,51.2579,0.0306,216.61,120000000,Foundation,SUCCESS
Chronos-2,WavePlug_UPS_Sensor_power,H5,0,33.6143,21.6444,46.1512,-0.1981,227.14,120000000,Foundation,SUCCESS
Chronos-2,WavePlug_UPS_Sensor_power,H5,1,56.7187,35.1316,51.3284,-0.4258,248.38,120000000,Foundation,SUCCESS
Chronos-2,WavePlug_UPS_Sensor_power,H5,2,36.0173,19.8969,51.7435,0.0161,215.82,120000000,Foundation,SUCCESS
Chronos-2,WavePlug_UPS_Sensor_power,H12,0,33.9876,21.7945,46.6586,-0.225,213.23,120000000,Foundation,SUCCESS
Chronos-2,WavePlug_UPS_Sensor_power,H12,1,56.7243,35.1357,51.3378,-0.4261,219.51,120000000,Foundation,SUCCESS
Chronos-2,WavePlug_UPS_Sensor_power,H12,2,36.4957,20.2643,52.609,-0.0102,250.76,120000000,Foundation,SUCCESS
Chronos-2,ZWave5_network_switch_Sensor_power,H1,0,0.1038,0.0758,2.2272,-0.1142,916.95,120000000,Foundation,SUCCESS
Chronos-2,ZWave5_network_switch_Sensor_power,H1,1,0.1234,0.0438,1.2074,-0.1206,837.97,120000000,Foundation,SUCCESS
Chronos-2,ZWave5_network_switch_Sensor_power,H1,2,0.1057,0.0492,1.4025,-0.2287,825.85,120000000,Foundation,SUCCESS
Chronos-2,ZWave5_network_switch_Sensor_power,H5,0,0.1038,0.0758,2.2272,-0.1142,845.72,120000000,Foundation,SUCCESS
Chronos-2,ZWave5_network_switch_Sensor_power,H5,1,0.1234,0.0438,1.2074,-0.1206,832.34,120000000,Foundation,SUCCESS
Chronos-2,ZWave5_network_switch_Sensor_power,H5,2,0.1057,0.0492,1.4025,-0.2287,837.27,120000000,Foundation,SUCCESS
Chronos-2,ZWave5_network_switch_Sensor_power,H12,0,0.1038,0.0758,2.2272,-0.1142,837.41,120000000,Foundation,SUCCESS
Chronos-2,ZWave5_network_switch_Sensor_power,H12,1,0.1234,0.0438,1.2074,-0.1206,838.16,120000000,Foundation,SUCCESS
Chronos-2,ZWave5_network_switch_Sensor_power,H12,2,0.1057,0.0492,1.4025,-0.2287,833.7,120000000,Foundation,SUCCESS
Chronos-2,ZWave7_bookcase_Sensor_power,H1,0,0.0001,0.0,,0.0,838.16,120000000,Foundation,SUCCESS
Chronos-2,ZWave7_bookcase_Sensor_power,H1,1,0.0012,0.0003,99.9985,-1.8735,844.14,120000000,Foundation,SUCCESS
Chronos-2,ZWave7_bookcase_Sensor_power,H1,2,0.7123,0.097,220.2126,-196049.8056,847.56,120000000,Foundation,SUCCESS
Chronos-2,ZWave7_bookcase_Sensor_power,H5,0,0.0001,0.0,,0.0,846.53,120000000,Foundation,SUCCESS
Chronos-2,ZWave7_bookcase_Sensor_power,H5,1,0.0012,0.0003,99.9989,-1.8735,821.94,120000000,Foundation,SUCCESS
Chronos-2,ZWave7_bookcase_Sensor_power,H5,2,0.7123,0.097,651.6774,-196036.7398,836.06,120000000,Foundation,SUCCESS
Chronos-2,ZWave7_bookcase_Sensor_power,H12,0,0.0001,0.0,,0.0,841.6,120000000,Foundation,SUCCESS
Chronos-2,ZWave7_bookcase_Sensor_power,H12,1,0.0012,0.0003,99.9987,-1.8735,831.68,120000000,Foundation,SUCCESS
